Fuel Type Code,Street Address,City,State,ZIP,Status Code,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,ID,Owner Type Code,EV Connector Types,Country,EV Pricing
ELEC,420 College St,Lacey,WA,98503,E,Public,24 hours daily,,4.0,,Non-Networked,47.044011,-122.822404,33351,LG,J1772,US,
ELEC,1411 E Mission Ave,Spokane,WA,99252,E,Public,24 hours daily,1.0,2.0,,Non-Networked,47.673347,-117.388933,35620,P,J1772 NEMA520,US,Free
ELEC,159 S Lincoln St,Spokane,WA,99201,E,Public,24 hours daily,,1.0,,Non-Networked,47.654998,-117.425025,35621,P,J1772,US,Free
ELEC,450 110th Ave NE,Bellevue,WA,98004,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.614744,-122.193162,37181,,J1772,US,
ELEC,2700 Evergreen Pkwy NW,Olympia,WA,98505,E,Public,24 hours daily; permit required; pay lot,2.0,2.0,,Non-Networked,47.071917,-122.976675,37673,SG,J1772 NEMA520,US,
ELEC,243 Israel Rd SE,Tumwater,WA,98501,E,Public - Call ahead,24 hours daily; by appointment only,,6.0,,Non-Networked,46.984193,-122.904856,37677,LG,J1772,US,Free
ELEC,1755 Highlands Dr NE,Issaquah,WA,98027,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.545324,-122.0195,38082,,J1772,US,
ELEC,18500 Campus Way NE,Bothell,WA,98011,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.761878,-122.191915,38952,,J1772,US,
ELEC,15670 NE 85th St,Redmond,WA,98052,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.679224,-122.12995,38959,,J1772,US,
ELEC,18080 NE 76th St,Redmond,WA,98052,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.672359,-122.099034,38966,,J1772,US,
ELEC,14580 NE 145th St,Woodinville,WA,98072,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.734211,-122.147041,38976,,J1772,US,
ELEC,1516 Iowa St,Bellingham,WA,98229,E,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,48.755607,-122.454132,39778,P,CHADEMO J1772,US,Free
ELEC,5101 Auto Center Blvd,Bremerton,WA,98312,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.562162,-122.684286,39779,P,J1772,US,Free
ELEC,16042 1st Ave S,Burien,WA,98148,E,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,47.458466,-122.333257,39780,P,CHADEMO J1772,US,Free
ELEC,24325 Highway 99,Edmonds,WA,98026,E,Public - Call ahead,Dealership business hours,,2.0,,Non-Networked,47.778229,-122.344838,39782,P,J1772,US,Free
ELEC,10500 Highway 99 S,Everett,WA,98204,E,Public - Call ahead,Dealership business hours,,2.0,,Non-Networked,47.90272981640562,-122.2469883724914,39783,P,J1772,US,Free
ELEC,2220 Carriage Dr SW,Olympia,WA,98502,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.031067,-122.930247,39786,P,J1772,US,Free
ELEC,928 N 28th Ave,Pasco,WA,99301,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,46.236607,-119.128998,39787,P,J1772,US,Free
ELEC,53 Jetta Way,Port Angeles,WA,98362,E,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,48.102863,-123.342273,39788,P,CHADEMO J1772,US,Free
ELEC,101 Valley Ave NW,Puyallup,WA,98371,E,Public - Call ahead,Dealership business hours,,1.0,1.0,Non-Networked,47.207367,-122.294997,39789,P,CHADEMO J1772,US,Free
ELEC,3401 E Valley Rd,Renton,WA,98058,E,Public,Dealership business hours,,1.0,1.0,Non-Networked,47.448354,-122.2188,39791,P,CHADEMO J1772,US,Free
ELEC,9000 N Division St,Spokane,WA,99218,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.739021,-117.409937,39795,P,J1772,US,Free
ELEC,6901 E Sprague Ave,Spokane Valley,WA,99212,E,Public - Call ahead,Dealership business hours,,2.0,1.0,Non-Networked,47.657264,-117.312518,39796,P,CHADEMO J1772,US,Free
ELEC,4030 S Tacoma Way,Tacoma,WA,98409,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,47.21978,-122.48576,39797,P,J1772,US,Free
ELEC,3608 NE Auto Mall Dr,Vancouver,WA,98662,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,45.648094,-122.597954,39798,P,J1772,US,Free
ELEC,1395 Dalles Military Rd,Walla Walla,WA,99362,E,Public - Call ahead,Dealership business hours,,1.0,,Non-Networked,46.047464,-118.353406,39799,P,J1772,US,Free
ELEC,601 108th Ave NE,Bellevue,WA,98004,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.616104,-122.19696,40383,,J1772,US,
ELEC,10900 NE 4th St,Bellevue,WA,98004,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.61434,-122.194037,40384,,J1772,US,
ELEC,3000 Rockefeller Ave,Everett,WA,98201,E,Public,6am-6pm M-F,,8.0,,Non-Networked,47.97725,-122.206369,40772,LG,J1772,US,Free
ELEC,214 Columbia St,Seattle,WA,98104,E,Public,Garage business hours; see the valet for access,,2.0,,Non-Networked,47.604115,-122.332907,41579,P,J1772,US,Free
ELEC,4800 S 188th St,SeaTac,WA,98188,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.434021,-122.273183,41776,,J1772,US,
ELEC,3628 S 35th St,Tacoma,WA,98409,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.228593,-122.484226,41780,,J1772,US,
ELEC,14509 SE Newport Way,Bellevue,WA,98006,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.568871,-122.145285,42228,,J1772,US,
ELEC,15395 SE 30th Pl,Bellevue,WA,98007,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.581979,-122.136238,42229,,J1772,US,
ELEC,801 228th Ave SE,Sammamish,WA,98075,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.601657,-122.036938,42240,,J1772,US,
ELEC,19802 62nd Ave S,Kent,WA,98032,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.424222,-122.256619,43299,,J1772,US,
ELEC,400 S 43rd St,Renton,WA,98055,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.443255,-122.212445,43303,,J1772,US,
ELEC,4033 Talbot Rd S,Renton,WA,98055,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.444606,-122.214491,43305,,J1772,US,
ELEC,1055 S Grady Way,Renton,WA,98057,E,Public,24 hours daily,,2.0,,Non-Networked,47.474537,-122.204976,43796,LG,J1772,US,Free
ELEC,110 S 10th St,Tacoma,WA,98402,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.253809,-122.437429,43804,,J1772,US,
ELEC,1801 Dock St,Tacoma,WA,98402,E,Public,24 hours daily,,2.0,,ChargePoint Network,47.245934,-122.43398,43806,,J1772,US,
ELEC,2401 S 35th St,Tacoma,WA,98409,E,Public,24 hours daily,,1.0,,Non-Networked,47.228866,-122.469105,43808,LG,J1772,US,Free
