City,EV Level1,EV Level2,EV Fast,Total Chargers,Total EVs,EVs per Charger,Population,Headcount per Charger
Seattle,0.0,725.0,111.0,836.0,29447,35.2,757992.0,906.7
Spokane,1.0,110.0,11.0,122.0,2735,22.4,231133.0,1894.5
Tacoma,2.0,113.0,8.0,123.0,3722,30.3,223859.0,1820.0
Vancouver,0.0,71.0,38.0,109.0,6193,56.8,197765.0,1814.4
Bellevue,0.0,344.0,23.0,367.0,8930,24.3,153768.0,419.0
Kent,0.0,24.0,3.0,27.0,2782,103.0,132204.0,4896.4
Everett,0.0,39.0,16.0,55.0,2475,45.0,111793.0,2032.6
Spokane Valley,0.0,11.0,10.0,21.0,701,33.4,111125.0,5291.7
Renton,0.0,122.0,7.0,129.0,4980,38.6,101386.0,785.9
Yakima,0.0,28.0,14.0,42.0,658,15.7,96969.0,2308.8
Bellingham,0.0,54.0,8.0,62.0,2941,47.4,95921.0,1547.1
Federal Way,0.0,14.0,15.0,29.0,1437,49.6,94745.0,3267.1
Kirkland,0.0,58.0,9.0,67.0,5362,80.0,91568.0,1366.7
Kennewick,0.0,9.0,11.0,20.0,878,43.9,85519.0,4276.0
Auburn,0.0,31.0,22.0,53.0,1897,35.8,82657.0,1559.6
Pasco,0.0,4.0,0.0,4.0,556,139.0,81178.0,20294.5
Redmond,0.0,85.0,5.0,90.0,6478,72.0,80116.0,890.2
Marysville,0.0,10.0,1.0,11.0,1207,109.7,73578.0,6688.9
Richland,0.0,13.0,2.0,15.0,923,61.5,64764.0,4317.6
Sammamish,0.0,16.0,0.0,16.0,5280,330.0,64250.0,4015.6
Lakewood,0.0,18.0,0.0,18.0,750,41.7,61532.0,3418.4
Shoreline,0.0,7.0,0.0,7.0,1953,279.0,60575.0,8653.6
Lacey,0.0,25.0,21.0,46.0,943,20.5,60485.0,1314.9
Olympia,2.0,62.0,4.0,68.0,4299,63.2,55731.0,819.6
Bothell,0.0,28.0,13.0,41.0,5863,143.0,49871.0,1216.4
Burien,0.0,14.0,1.0,15.0,876,58.4,49627.0,3308.5
Lynnwood,0.0,44.0,17.0,61.0,2726,44.7,47880.0,784.9
Bremerton,0.0,18.0,2.0,20.0,1299,65.0,47209.0,2360.4
Edmonds,0.0,12.0,4.0,16.0,1896,118.5,42354.0,2647.1
Puyallup,0.0,24.0,1.0,25.0,1315,52.6,41880.0,1675.2
Lake Stevens,0.0,3.0,6.0,9.0,1351,150.1,40598.0,4510.9
Issaquah,2.0,61.0,11.0,74.0,2764,37.4,38601.0,521.6
Longview,0.0,4.0,0.0,4.0,350,87.5,37696.0,9424.0
Mount Vernon,0.0,10.0,4.0,14.0,642,45.9,35753.0,2553.8
Wenatchee,0.0,30.0,2.0,32.0,412,12.9,35346.0,1104.6
University Place,0.0,7.0,0.0,7.0,692,98.9,34371.0,4910.1
Spanaway,0.0,4.0,0.0,4.0,389,97.2,34254.0,8563.5
Walla Walla,0.0,27.0,0.0,27.0,347,12.9,32801.0,1214.9
Pullman,0.0,13.0,1.0,14.0,256,18.3,32161.0,2297.2
Des Moines,0.0,11.0,0.0,11.0,502,45.6,31946.0,2904.2
SeaTac,0.0,18.0,2.0,20.0,0,0.0,29652.0,1482.6
Maple Valley,0.0,4.0,0.0,4.0,1490,372.5,28355.0,7088.8
Camas,0.0,11.0,0.0,11.0,1586,144.2,28275.0,2570.5
Tumwater,0.0,11.0,9.0,20.0,639,32.0,27048.0,1352.4
Moses Lake,0.0,4.0,15.0,19.0,296,15.6,26440.0,1391.6
Mercer Island,0.0,29.0,2.0,31.0,2344,75.6,24600.0,793.5
Oak Harbor,0.0,6.0,0.0,6.0,468,78.0,24187.0,4031.2
Bainbridge Island,0.0,10.0,0.0,10.0,1760,176.0,24153.0,2415.3
Kenmore,0.0,5.0,0.0,5.0,1028,205.6,23067.0,4613.4
Arlington,0.0,12.0,16.0,28.0,565,20.2,22121.0,790.0
Covington,0.0,3.0,3.0,6.0,547,91.2,21891.0,3648.5
Mountlake Terrace,0.0,4.0,0.0,4.0,450,112.5,21804.0,5451.0
Silverdale,0.0,18.0,2.0,20.0,350,17.5,21690.0,1084.5
Tukwila,0.0,23.0,9.0,32.0,2927,91.5,20999.0,656.2
Mukilteo,0.0,7.0,0.0,7.0,773,110.4,20681.0,2954.4
Port Angeles,1.0,16.0,6.0,23.0,438,19.0,20118.0,874.7
Centralia,0.0,4.0,22.0,26.0,288,11.1,19277.0,741.4
Monroe,0.0,3.0,15.0,18.0,765,42.5,18574.0,1031.9
Port Orchard,2.0,4.0,0.0,6.0,1069,178.2,18564.0,3094.0
Anacortes,0.0,10.0,0.0,10.0,681,68.1,18326.0,1832.6
Camano,0.0,4.0,0.0,4.0,0,0.0,18211.0,4552.8
Ellensburg,0.0,2.0,10.0,12.0,285,23.8,18006.0,1500.5
Ridgefield,0.0,29.0,1.0,30.0,946,31.5,17666.0,588.9
Aberdeen,0.0,0.0,8.0,8.0,156,19.5,17196.0,2149.5
Ferndale,0.0,4.0,0.0,4.0,345,86.2,16562.0,4140.5
Lynden,0.0,1.0,0.0,1.0,218,218.0,16540.0,16540.0
Sunnyside,0.0,4.0,0.0,4.0,60,15.0,16208.0,4052.0
