X,Y,OBJECTID,LRSDate,RouteIdentifier,Location,DirectionOfTravel,StateRouteNumber,RelatedRouteType,RelatedRouteQualifier,SingleUnitTruckPct,DoubleUnitTruckPct,TripleUnitTruckPct,AADT,AccumulatedRouteMile,GlobalID,ReportingYear
-122.662498211949,45.6490415765699,1,2022/12/31 08:00:00+00,005R500252,"R5 RAMP (SR 5 SB TO 39TH ST)  AFTER MILEPOST 0.00: SR 5 SB INTERSECTION; BEGIN ROUTE",West,005,R5,00252,,,,6100,0.230000004,{3F7ACF3D-187F-404A-AD5D-CC9803559631},2022
-117.621523167132,48.0597295536451,2,2022/12/31 08:00:00+00,292,SOUTHEAST OF MILEPOST 5.87: COLVILLE RD INTERSECTION,Bothways,292,,,,,,4100,5.86000013,{13C4CB58-EF4D-4A60-9423-0C4CEB4284EB},2022
-122.190768349372,47.9804239287766,3,2022/12/31 08:00:00+00,002,"EAST OF MILEPOST 0.00B: SR 529-MAPLE ST INTERSECTION; BEGIN ROUTE",West,002,,,2.69000006,0.529999971,0,5100,0.00999999978,{CD06ACB7-DCA4-4318-8BF4-2A0363A6DD2A},2022
-122.664462554935,45.7567845704841,4,2022/12/31 08:00:00+00,005,NORTH OF MILEPOST 9.94: OLD SR 502*NE 179TH ST ON RAMP,Bothways,005,,,,,,114000,9.94999981,{2A783070-6530-49DA-AEDA-CF0D0137A751},2022
-122.292328687089,47.814893523503,5,2022/12/31 08:00:00+00,524SPCEDRWY,NORTH OF MILEPOST 5.07: OFF RAMP WYE CONNECTION,Bothways,524,SP,CEDRWY,,,,26000,0.419999987,{2488A7C0-CDE3-4DFB-88E8-D79267A6026A},2022
-117.217462310704,47.6729991886215,6,2022/12/31 08:00:00+00,090P129050,"P1 RAMP (SR 90 EB TO EVERGREEN RD)  AFTER MILEPOST 0.00: SR 90 EB INTERSECTION; BEGIN ROUTE",Southeast,090,P1,29050,,,,6500,0.409999996,{0491BB03-951B-400C-B810-E0DF4F2D3F79},2022
-122.345253526843,47.7791181641339,7,2022/12/31 08:00:00+00,099R504362,"R5 RAMP (SR 99 SB TO SR 104 EB)  AFTER MILEPOST 0.00: SR 99 SB INTERSECTION; BEGIN ROUTE",East,099,R5,04362,,,,1700,0.219999999,{98B36E9F-C809-4035-AF0D-6C5D53EA624D},2022
-122.514155939351,47.6247045333832,8,2022/12/31 08:00:00+00,305,SOUTH OF MILEPOST 0.22: WINSLOW WAY INTERSECTION,Bothways,305,,,8.06999969,0.209999993,0,6800,0.189999998,{4AEB7AE8-206F-4DB0-B857-CC0E1054CF98},2022
-121.990663007919,47.8656440837868,9,2022/12/31 08:00:00+00,002,SOUTHEAST OF MILEPOST 13.87: 179TH AVE SE INTERSECTION,Bothways,002,,,,,,29000,13.96,{6CE166F0-0BB7-4CC6-AF2C-3101DE03822E},2022
-122.32682989196,47.6035727016228,10,2022/12/31 08:00:00+00,005RL005EXP,"NORTHWEST OF MILEPOST 165.29: ENTRANCE FROM SR 5 NB; BEGIN ROUTE",Bothways,005,RL,005EXP,2.69000006,2.78999996,0.360000014,18000,0.00999999978,{B27B66A9-4B34-4EA3-9B8B-A1BD4D18AD11},2022
-122.639464226668,47.8677666902238,11,2022/12/31 08:00:00+00,104,"WEST OF MILEPOST 13.76: PARADISE BAY RD, SHINE RD INTERSECTION",Bothways,104,,,6.90999985,5.61999989,0.790000021,15000,13.5500002,{B467BC6C-A4D3-40DC-8CA4-58A3AE1ABBA1},2022
-120.834835519563,45.6826984437449,12,2022/12/31 08:00:00+00,097,EAST OF MILEPOST 0.28: MARYHILL STATE PARK ENTRANCE/EXIT,Bothways,097,,,7.38999987,23.1299992,2.6400001,6000,0.529999971,{7FF1B01D-04DF-456A-9472-EDC7D2EBD834},2022
